delta time[s],outdoor temperature[°C],flow temperature boiler[°C],return flow temperature boiler[°C],return flow temperature[°C],room temperature[°C],pump I/O,boiler heating temperature[°C],flow temperature[°C],boiler I/O
25680.398,17.133444,48.938822,40.788821,39.828796,20.496807,1,49.153857,46.898507,1
25872.558,17.186822,49.128337,40.981924,40.019775,20.629316,1,49.341614,47.087165,1
26320.537,17.31126,49.565871,41.416679,40.455456,20.941037,1,49.776524,47.525177,1
26768.516,17.435699,50.000576,41.850717,40.889432,21.25062,1,50.213573,47.959069,1
27821.211,17.728114,51.02608,42.868913,41.909289,21.978812,1,51.239873,48.983446,1
28800,18,51.979564,43.815651,42.857542,22.655943,1,52.194057,49.935989,1
28800,18,51.979556,43.815652,42.857539,22.655943,1,52.194057,49.935989,1
28800,18,51.979556,43.815652,42.857539,22.655943,1,52.194057,49.935989,1
28800.001,18,51.979557,43.815653,42.857541,22.655944,1,52.194056,49.935991,1
28800.004,18,51.979559,43.815655,42.857543,22.655946,1,52.194054,49.935993,1
28800.006,18.000001,51.979561,43.815658,42.857546,22.655947,1,52.194053,49.935996,1
28800.008,18.000001,51.979563,43.815659,42.857547,22.655949,1,52.194051,49.935997,1
28800.01,18.000001,51.979565,43.815661,42.857549,22.65595,1,52.19405,49.935999,1
28800.012,18.000001,51.979566,43.815663,42.857551,22.655951,1,52.194049,49.936001,1
28800.012,18.000001,51.979566,43.815663,42.857551,22.655951,1,52.194049,49.936001,1
28800.012,18.000001,51.979567,43.815663,42.857551,22.655951,1,52.194049,49.936001,1
28800.012,18.000001,51.979567,43.815663,42.857552,22.655952,1,52.194048,49.936001,1
28800.013,18.000001,51.979567,43.815664,42.857552,22.655952,1,52.194048,49.936002,1
28800.015,18.000002,51.979569,43.815666,42.857555,22.655954,1,52.194046,49.936004,1
28800.02,18.000002,51.979573,43.815671,42.857559,22.655957,1,52.194043,49.936009,1
28800.044,18.000005,51.979594,43.815694,42.857584,22.655974,1,52.194026,49.936033,1
28800.135,18.000015,51.979675,43.815784,42.857677,22.656037,1,52.193963,49.936123,1
28800.416,18.000046,51.979931,43.816059,42.857962,22.656234,1,52.193766,49.936402,1
28801.035,18.000115,51.98049,43.816666,42.858592,22.656667,1,52.193333,49.937015,1
28802.986,18.000332,51.982164,43.818586,42.860573,22.658031,1,52.191969,49.938938,1
28808.391,18.000932,51.986458,43.823938,42.866044,22.661809,1,52.188191,49.944198,1
28828.313,18.003146,51.998105,43.843817,42.885732,22.675579,1,52.174421,49.962018,1
28848.235,18.005359,52.00533,43.863473,42.904085,22.688844,1,52.161156,49.976361,1
28869.6,18.007733,52.010915,43.883463,42.921283,22.70208,1,52.14792,49.987289,1
28890.964,18.010107,52.015018,43.901445,42.935349,22.714007,1,52.135993,49.994643,1
28912.329,18.012481,52.0185,43.916744,42.946393,22.724551,1,52.125449,49.999854,1
28944.376,18.016042,52.022367,43.934442,42.958526,22.737997,1,52.112003,50.005522,1
28976.424,18.019603,52.024605,43.946735,42.966764,22.748975,1,52.101025,50.009394,1
29008.471,18.023163,52.02538,43.955077,42.972286,22.757889,1,52.092111,50.011684,1
29126.946,18.036327,52.023045,43.967978,42.979408,22.778627,1,52.071373,50.011893,1
