delta time[s],outdoor temperature[°C],flow temperature[°C],return flow temperature[°C],f-r diff[K],room temperature[°C],pump I/O,boiler heating temperature[°C],pressure[bar],drinking water temperature boiler[°C]
57600,8,54.5062,46.359073,8.1471263,20.205457,1,54.644543,1.0454839,1
57600,8,54.5062,46.359073,8.1471263,20.205457,1,54.644543,1.0454839,1
60731.194,7.130224,54.709897,46.548226,8.1616702,19.983774,1,54.866226,1.0454642,1
61200,7,54.740553,46.576787,8.163766,19.950557,1,54.899443,1.0454613,1
61200,7,54.740553,46.576787,8.163766,19.950557,1,54.899443,1.0454613,1
61200,7,54.740553,46.576787,8.163766,19.950557,1,54.899443,1.0454613,1
64800,7.7,54.588369,46.442248,8.1461213,20.126651,1,54.723349,1.0454771,1
64800,7.7,54.588369,46.442248,8.1461213,20.126651,1,54.723349,1.0454771,1
64800,7.7,54.588369,46.442248,8.1461213,20.126651,1,54.723349,1.0454771,1
68400,8,54.509742,46.364548,8.1451938,20.204831,1,54.645169,1.045484,1
68400,8,54.509742,46.364548,8.1451938,20.204831,1,54.645169,1.045484,1
72000,7,54.742316,46.579531,8.1627848,19.950361,1,54.899639,1.0454613,1
72000,7,54.742316,46.579531,8.1627848,19.950361,1,54.899639,1.0454613,1
72324,7,54.750752,46.590922,8.1598294,19.947106,1,54.902894,1.045461,1
72972,7,54.756004,46.600354,8.1556499,19.948091,1,54.901909,1.0454613,1
74584.483,7,54.753039,46.596264,8.156775,19.949014,1,54.900986,1.0454614,1
76706.494,7,54.755238,46.598849,8.15639,19.947787,1,54.902213,1.0454612,1
78828.506,7,54.753562,46.597208,8.156353,19.949124,1,54.900876,1.0454614,1
79200,7,54.753022,46.596646,8.1563752,19.949512,1,54.900488,1.0454615,1
79200,7,54.753022,46.596646,8.1563752,19.949512,1,54.900488,1.0454615,1
79200,7,54.753022,46.596646,8.1563752,19.949512,1,54.900488,1.0454615,1
79620.231,6.7665383,54.792902,46.626284,8.166618,19.894368,1,54.955632,1.0454565,1
80460.693,6.2996148,54.899928,46.720924,8.1790044,19.771601,1,55.078399,1.0454453,1
81301.156,5.8326914,55.021174,46.840815,8.1803588,19.651165,1,55.198835,1.0454347,1
82341.258,5.2548567,55.161892,46.975892,8.1860001,19.504552,1,55.345448,1.0454218,1
82800,5,55.223075,47.034033,8.189042,19.439905,1,55.410095,1.0454161,1
82800,5,55.223075,47.034033,8.189042,19.439905,1,55.410095,1.0454161,1
82800,5,55.223075,47.034033,8.189042,19.439905,1,55.410095,1.0454161,1
82854.943,4.9969476,55.199591,47.035417,8.1641748,19.429566,1,55.328862,1.0454205,1
82964.829,4.9908428,55.125495,47.016154,8.1093412,19.402746,1,55.172539,1.0454349,1
83042.108,4.9865496,55.053836,46.97299,8.0808462,19.374451,1,55.072037,1.045447,1
83119.386,4.9822563,54.978143,46.908263,8.0698795,19.337534,1,54.980156,1.0454556,1
83361.995,4.968778,54.727241,46.669045,8.058196,19.196484,1,54.716857,1.0454788,1
83704.816,4.9497325,54.373481,46.314383,8.0590978,18.976955,1,54.365019,1.0455088,1
84231.214,4.9204881,53.834221,45.778691,8.0555295,18.643253,1,53.821391,1.0455546,1
85283.242,4.8620421,52.754157,44.706918,8.0472395,17.977051,1,52.734212,1.0456473,1
86335.271,4.803596,51.6745,43.633753,8.0407469,17.309867,1,51.648014,1.0457391,1
86400,4.8,51.608084,43.567686,8.0403984,17.268789,1,51.581211,1.0457448,1
86400,4.8,51.608084,43.567686,8.0403984,17.268789,1,51.581211,1.0457448,1
